timestamp,machine_id,category,issue_description,severity,location
2025-01-20 03:01:26.077401,M446,Machinery & Equipment,Lathe machine spindle failure,High,Parkerview
2025-02-11 09:44:17.041946,M787,Assembly Line,Conveyor belt misalignment,Medium,Lake Nicholas
2025-02-10 12:52:05.256507,M584,Parts & Supply,Engine block casting defects,High,Lake Kayleeshire
2025-02-12 19:07:33.125298,M184,Parts & Supply,Engine block casting defects,High,Ashleychester
2025-01-27 23:08:39.852918,M911,Sensor & Electrical,PLC (Programmable Logic Controller) failure,High,Sandersberg
2025-01-08 16:33:46.605291,M629,Assembly Line,Conveyor belt misalignment,Medium,North Claudiaville
2025-02-26 23:46:30.426987,M352,Logistics & Storage,Inventory mismatch in parts database,Low,Port Crystalhaven
2025-02-28 16:53:43.971866,M179,Parts & Supply,Incorrect tire specifications received,Low,Dixonside
2025-02-06 05:39:37.918688,M167,Sensor & Electrical,Faulty RFID scanner at inventory check,Medium,North Sarahview
2025-02-20 07:07:59.571175,M394,Assembly Line,Paint sprayer clogging,Medium,Lake Deborah
2025-01-23 22:29:18.184699,M293,Logistics & Storage,Inventory mismatch in parts database,Low,Lake John
2025-02-02 19:12:22.207343,M363,Logistics & Storage,Forklift fuel leakage,High,Joneschester
2025-01-13 06:31:18.074815,M416,Parts & Supply,Delayed shipment of brake pads,Low,Smithland
2025-02-23 22:31:44.062372,M889,Parts & Supply,Delayed shipment of brake pads,Low,Buchananville
2025-02-18 12:14:20.034010,M796,Sensor & Electrical,Faulty RFID scanner at inventory check,Low,West Joseph
2025-01-21 15:43:29.708513,M787,Parts & Supply,Delayed shipment of brake pads,Low,East Gabrielchester
2025-01-17 09:20:43.586273,M161,Logistics & Storage,Tire storage humidity too high,High,South Deanna
2025-02-25 15:42:39.305612,M215,Parts & Supply,Engine block casting defects,High,Richardchester
2025-02-14 21:22:28.284983,M521,Assembly Line,Conveyor belt misalignment,Medium,Port Michaelchester
2025-02-20 10:03:02.225583,M994,Machinery & Equipment,Hydraulic press pressure loss,Low,Port Judith
2025-01-08 12:06:45.120476,M846,Sensor & Electrical,Electrical surge causing sensor malfunctions,High,Billyside
2025-02-18 11:57:29.844221,M833,Logistics & Storage,Forklift fuel leakage,Low,Port Renee
2025-02-11 02:50:21.417307,M383,Logistics & Storage,Barcode scanner failure in warehouse,High,Port Sharonborough
2025-02-04 20:59:33.495743,M984,Parts & Supply,Engine block casting defects,High,Francesberg
2025-02-18 17:09:25.416670,M200,Machinery & Equipment,Injection molding machine nozzle clog,Medium,Port Manuelmouth
2025-01-30 04:31:52.681934,M479,Assembly Line,Robotic arm calibration failure,High,West Darrellland
2025-01-13 08:10:49.090002,M400,Logistics & Storage,Tire storage humidity too high,Medium,North David
2025-01-11 21:15:02.366682,M538,Machinery & Equipment,Injection molding machine nozzle clog,Medium,Hectormouth
2025-01-21 22:31:10.730687,M570,Assembly Line,Paint sprayer clogging,Medium,Amymouth
2025-02-01 14:58:39.293160,M872,Assembly Line,Conveyor belt misalignment,Medium,Lake Marcus
2025-02-02 07:01:37.713541,M229,Logistics & Storage,Tire storage humidity too high,Medium,New Jefferyport
2025-01-31 19:33:47.270808,M666,Parts & Supply,Incorrect tire specifications received,Low,Port Susanchester
2025-01-21 03:38:28.575480,M850,Sensor & Electrical,Faulty RFID scanner at inventory check,Low,Port Judith
2025-02-08 17:10:18.388581,M819,Sensor & Electrical,Faulty RFID scanner at inventory check,Medium,Port Michaelmouth
2025-01-10 07:50:40.790322,M355,Parts & Supply,Incorrect tire specifications received,Low,Simonborough
2025-01-11 20:19:16.856319,M209,Parts & Supply,Engine block casting defects,Low,Lake Laurie
2025-02-12 05:49:40.383311,M207,Machinery & Equipment,Injection molding machine nozzle clog,Low,Adamsmouth
2025-02-05 14:59:59.213552,M628,Logistics & Storage,Forklift fuel leakage,Low,Johnsonland
2025-02-24 07:17:11.171645,M574,Machinery & Equipment,Lathe machine spindle failure,High,East Charlesberg
2025-02-16 00:44:19.109402,M121,Logistics & Storage,Inventory mismatch in parts database,Low,South Christina
2025-01-16 09:26:51.542133,M871,Parts & Supply,Incorrect tire specifications received,Low,South Kevin
2025-02-12 15:30:55.056876,M532,Assembly Line,Paint sprayer clogging,Medium,New Brandi
2025-01-14 21:24:48.188414,M100,Sensor & Electrical,Battery pack overheating in EV assembly,High,Bryanberg
2025-02-15 08:56:56.144373,M126,Machinery & Equipment,Injection molding machine nozzle clog,High,Tylerton
2025-01-19 05:18:40.810590,M864,Parts & Supply,Delayed shipment of brake pads,Low,East Roberta
2025-01-17 18:48:14.614404,M240,Assembly Line,Conveyor belt misalignment,Medium,West Sean
2025-01-13 03:18:08.816160,M347,Parts & Supply,Defective windshield batch,Medium,Lake Traceyburgh
2025-01-16 04:35:46.098783,M869,Sensor & Electrical,Faulty RFID scanner at inventory check,Low,Melanieside
2025-02-28 20:59:28.838813,M459,Logistics & Storage,Inventory mismatch in parts database,Low,Port Albertfurt
2025-01-15 01:28:20.704372,M325,Sensor & Electrical,PLC (Programmable Logic Controller) failure,High,Barrettport
2025-01-16 18:14:54.277161,M238,Parts & Supply,Incorrect tire specifications received,Low,North Diane
2025-01-29 17:59:18.200349,M460,Parts & Supply,Defective windshield batch,Medium,Fergusonbury
2025-01-05 17:22:14.114627,M627,Assembly Line,Paint sprayer clogging,Medium,Lake Robertshire
2025-01-07 10:08:27.048206,M404,Parts & Supply,Delayed shipment of brake pads,Low,Andersonstad
2025-02-24 01:14:44.666670,M625,Parts & Supply,Engine block casting defects,Medium,Johnsonfurt
2025-01-27 10:33:58.642437,M965,Machinery & Equipment,Lathe machine spindle failure,High,Port Amandaberg
2025-03-03 14:00:23.122722,M325,Logistics & Storage,Tire storage humidity too high,High,North Jamesview
2025-01-31 10:23:36.064889,M489,Machinery & Equipment,Lathe machine spindle failure,High,North Mariaside
2025-01-29 22:13:59.356369,M563,Sensor & Electrical,PLC (Programmable Logic Controller) failure,High,Lake Cynthia
2025-02-21 20:05:20.547349,M950,Parts & Supply,Engine block casting defects,High,Elizabethburgh
2025-02-03 05:14:31.839970,M751,Machinery & Equipment,Lathe machine spindle failure,High,West Dawn
2025-03-06 06:11:33.431143,M142,Assembly Line,Robotic arm calibration failure,High,East Michaelport
2025-01-17 14:06:14.334435,M590,Parts & Supply,Delayed shipment of brake pads,Low,Thomasport
2025-02-09 12:12:25.190819,M229,Logistics & Storage,Tire storage humidity too high,Medium,Leslieville
2025-02-24 12:11:07.827355,M770,Machinery & Equipment,Hydraulic press pressure loss,Low,Lake Jessicaborough
2025-01-26 07:20:07.927314,M577,Machinery & Equipment,Hydraulic press pressure loss,High,Franklinville
2025-01-16 03:39:19.134452,M772,Assembly Line,Conveyor belt misalignment,Medium,Landryfort
2025-02-09 02:38:47.280703,M745,Machinery & Equipment,Injection molding machine nozzle clog,Medium,Coryburgh
2025-01-31 13:44:41.443285,M280,Assembly Line,Spot welding machine misfire,Low,Seanland
2025-02-09 19:45:08.194696,M705,Logistics & Storage,Forklift fuel leakage,Low,South Patrickmouth
2025-01-04 03:12:23.235005,M220,Parts & Supply,Defective windshield batch,Medium,Lake Margaretchester
2025-03-05 00:26:43.572929,M464,Machinery & Equipment,Injection molding machine nozzle clog,High,North Emily
2025-01-06 04:25:50.974833,M815,Sensor & Electrical,PLC (Programmable Logic Controller) failure,High,Port Stephenberg
2025-01-25 13:56:27.071357,M355,Assembly Line,Conveyor belt misalignment,Medium,Johnsonburgh
2025-02-02 11:02:54.000581,M226,Sensor & Electrical,Electrical surge causing sensor malfunctions,Low,Lake Dana
2025-01-12 05:28:53.631697,M601,Sensor & Electrical,Faulty RFID scanner at inventory check,Medium,Lake Andrew
2025-01-06 00:23:18.640841,M391,Parts & Supply,Defective windshield batch,Medium,New Williamton
2025-02-22 19:26:13.615688,M722,Parts & Supply,Defective windshield batch,Medium,South Melissahaven
2025-02-27 06:25:53.359717,M693,Sensor & Electrical,Battery pack overheating in EV assembly,High,Gutierrezside
2025-01-20 14:04:21.226530,M123,Machinery & Equipment,Lathe machine spindle failure,High,New Michael
2025-01-18 02:23:43.477934,M150,Assembly Line,Robotic arm calibration failure,High,Collinstown
2025-01-08 06:27:09.957025,M679,Sensor & Electrical,Battery pack overheating in EV assembly,High,South Christopherbury
2025-02-08 23:13:39.877847,M623,Machinery & Equipment,Hydraulic press pressure loss,Medium,Port Michealton
2025-02-14 03:20:18.151803,M930,Parts & Supply,Engine block casting defects,Low,East Johntown
2025-02-23 19:37:14.419028,M267,Sensor & Electrical,PLC (Programmable Logic Controller) failure,High,Lake Elizabethville
2025-01-13 02:16:30.359905,M308,Logistics & Storage,Forklift fuel leakage,High,New Holly
2025-01-02 07:49:52.413368,M580,Logistics & Storage,Barcode scanner failure in warehouse,High,Floreston
2025-03-03 08:42:25.285824,M936,Machinery & Equipment,Injection molding machine nozzle clog,Medium,North John
2025-01-26 07:09:46.222963,M193,Sensor & Electrical,PLC (Programmable Logic Controller) failure,High,North Markland
2025-01-18 08:26:07.465198,M926,Logistics & Storage,Forklift fuel leakage,Low,West Jonathanland
2025-03-02 08:15:12.779917,M568,Parts & Supply,Delayed shipment of brake pads,Low,Chavezborough
2025-01-21 18:42:48.662078,M648,Logistics & Storage,Tire storage humidity too high,High,New Karen
2025-01-15 18:46:19.308280,M617,Machinery & Equipment,Hydraulic press pressure loss,Low,Brightmouth
2025-01-16 05:37:56.277450,M519,Sensor & Electrical,Battery pack overheating in EV assembly,High,Tannerland
2025-01-31 13:24:35.550382,M525,Sensor & Electrical,Electrical surge causing sensor malfunctions,Medium,Danielsberg
2025-01-12 08:05:01.209876,M332,Parts & Supply,Engine block casting defects,High,West Shannonland
2025-02-27 08:22:43.462281,M886,Parts & Supply,Incorrect tire specifications received,Low,South Scott
2025-02-21 14:44:43.724253,M179,Parts & Supply,Delayed shipment of brake pads,Low,Pedrotown
2025-01-13 22:53:30.178257,M154,Logistics & Storage,Forklift fuel leakage,High,Pamshire
2025-02-21 22:53:58.429094,M744,Logistics & Storage,Inventory mismatch in parts database,Low,Younghaven
2025-01-08 16:43:20.519453,M456,Machinery & Equipment,Lathe machine spindle failure,High,Bryanhaven
2025-01-21 14:25:05.277435,M719,Sensor & Electrical,Electrical surge causing sensor malfunctions,Low,Williamschester
2025-03-05 06:29:30.350175,M613,Assembly Line,Robotic arm calibration failure,High,Lake David
2025-01-05 09:23:08.801927,M599,Sensor & Electrical,PLC (Programmable Logic Controller) failure,High,Fergusonbury
2025-02-12 08:53:20.000984,M820,Parts & Supply,Delayed shipment of brake pads,Low,Tiffanymouth
2025-01-05 10:15:04.148371,M254,Logistics & Storage,Tire storage humidity too high,Medium,West Danieltown
2025-01-19 14:55:04.059829,M302,Parts & Supply,Engine block casting defects,Medium,North Eduardoview
2025-01-12 05:44:32.172745,M969,Parts & Supply,Delayed shipment of brake pads,Low,North Helen
2025-02-14 08:10:03.892586,M196,Logistics & Storage,Barcode scanner failure in warehouse,High,West Kevinview
2025-01-12 01:59:38.730272,M236,Machinery & Equipment,Hydraulic press pressure loss,High,North Kevin
2025-01-22 22:15:48.648242,M446,Sensor & Electrical,Electrical surge causing sensor malfunctions,Medium,Copelandfort
2025-01-14 15:50:59.869860,M553,Sensor & Electrical,Battery pack overheating in EV assembly,High,North Kyle
2025-03-01 04:07:03.491777,M187,Logistics & Storage,Barcode scanner failure in warehouse,High,Guzmanport
2025-02-07 11:49:59.571314,M809,Machinery & Equipment,Hydraulic press pressure loss,Medium,Simpsonchester
2025-01-25 20:50:55.789776,M478,Logistics & Storage,Barcode scanner failure in warehouse,High,Rachelport
2025-03-04 01:06:05.089877,M947,Assembly Line,Robotic arm calibration failure,High,Lake Rachelton
2025-03-03 01:47:28.597719,M295,Parts & Supply,Incorrect tire specifications received,Low,East Nathanshire
2025-01-30 03:24:13.171833,M308,Assembly Line,Conveyor belt misalignment,Medium,New Diane
2025-01-19 13:11:10.595799,M906,Parts & Supply,Engine block casting defects,Medium,Mathisville
2025-03-03 03:40:42.325057,M775,Sensor & Electrical,PLC (Programmable Logic Controller) failure,High,Suttonborough
2025-02-20 13:44:36.490856,M978,Assembly Line,Robotic arm calibration failure,High,New Kristintown
2025-03-02 06:05:37.982412,M361,Sensor & Electrical,PLC (Programmable Logic Controller) failure,High,South Kathleen
2025-01-12 16:15:39.712756,M182,Parts & Supply,Defective windshield batch,Medium,Lake Paul
2025-01-15 10:53:28.700975,M191,Parts & Supply,Incorrect tire specifications received,Low,Nicoleport
2025-01-06 16:53:26.748759,M691,Assembly Line,Paint sprayer clogging,Medium,Port William
2025-02-01 13:06:33.578230,M776,Sensor & Electrical,Electrical surge causing sensor malfunctions,High,Port Stephaniebury
2025-02-11 18:06:37.139941,M187,Assembly Line,Robotic arm calibration failure,High,Colleenburgh
2025-02-18 07:24:04.689936,M339,Machinery & Equipment,Lathe machine spindle failure,High,Allenton
2025-02-08 19:41:59.804888,M162,Assembly Line,Conveyor belt misalignment,Medium,Washingtonchester
2025-02-22 09:24:23.877120,M513,Parts & Supply,Defective windshield batch,Medium,Lake Lisa
2025-02-15 00:12:27.631572,M299,Machinery & Equipment,CNC machine overheating,High,Gilmoreshire
2025-01-16 10:41:49.562377,M476,Machinery & Equipment,Lathe machine spindle failure,High,Johnsonhaven
2025-01-07 00:38:29.419677,M324,Machinery & Equipment,Hydraulic press pressure loss,Medium,West Samanthaville
2025-02-11 18:25:36.414815,M358,Machinery & Equipment,Injection molding machine nozzle clog,Medium,New Andreahaven
2025-01-28 07:31:31.234005,M793,Assembly Line,Robotic arm calibration failure,High,Lake Robertstad
2025-02-03 08:30:17.258918,M795,Logistics & Storage,Inventory mismatch in parts database,Low,New Russell
2025-01-26 21:48:05.618026,M189,Assembly Line,Robotic arm calibration failure,High,Brewerbury
2025-01-02 15:55:30.385016,M981,Machinery & Equipment,Hydraulic press pressure loss,High,East Tracyshire
2025-01-12 09:22:18.264545,M663,Assembly Line,Spot welding machine misfire,High,Davidstad
2025-02-05 10:15:39.021462,M248,Sensor & Electrical,Electrical surge causing sensor malfunctions,Medium,Smithport
2025-01-15 00:43:21.028235,M871,Assembly Line,Robotic arm calibration failure,High,Edwardburgh
2025-01-26 03:09:01.236801,M243,Parts & Supply,Engine block casting defects,Medium,Smithton
2025-02-22 17:04:59.691499,M140,Sensor & Electrical,Battery pack overheating in EV assembly,High,East Joseph
2025-01-02 00:21:53.180167,M582,Sensor & Electrical,PLC (Programmable Logic Controller) failure,High,South Jessicaside
2025-01-20 21:10:26.729578,M852,Machinery & Equipment,Hydraulic press pressure loss,Medium,Lake Anthonyshire
2025-02-28 21:14:02.451600,M919,Machinery & Equipment,Injection molding machine nozzle clog,High,North Gregory
2025-01-04 08:21:19.879250,M342,Logistics & Storage,Tire storage humidity too high,Low,West Jamiechester
2025-02-09 07:54:52.809695,M290,Parts & Supply,Incorrect tire specifications received,Low,South Juanchester
2025-01-20 17:01:52.116630,M483,Assembly Line,Paint sprayer clogging,Medium,East Daleborough
2025-02-08 14:44:07.610363,M504,Logistics & Storage,Inventory mismatch in parts database,Low,Lake Tiffanystad
2025-01-19 09:04:03.499440,M805,Parts & Supply,Engine block casting defects,High,Port Patrick
2025-02-27 05:58:14.614006,M248,Logistics & Storage,Barcode scanner failure in warehouse,High,Lake Tracymouth
2025-02-04 15:45:51.689918,M308,Machinery & Equipment,CNC machine overheating,High,South Tina
2025-01-14 04:08:15.733695,M452,Sensor & Electrical,Battery pack overheating in EV assembly,High,Michelleberg
2025-01-13 19:59:09.375144,M583,Assembly Line,Paint sprayer clogging,Medium,Karinafurt
2025-02-23 19:55:47.229165,M338,Machinery & Equipment,Injection molding machine nozzle clog,Low,Hillside
2025-01-26 10:45:57.542553,M844,Parts & Supply,Incorrect tire specifications received,Low,Johnport
2025-02-24 13:17:21.465281,M960,Assembly Line,Robotic arm calibration failure,High,Thompsonberg
2025-01-26 18:05:12.055342,M288,Assembly Line,Conveyor belt misalignment,Medium,Port Stacy
2025-03-03 15:59:07.341279,M681,Sensor & Electrical,Battery pack overheating in EV assembly,High,East Nathanielshire
2025-01-20 08:01:17.483038,M333,Sensor & Electrical,Faulty RFID scanner at inventory check,Low,Davisstad
2025-02-12 04:03:39.681247,M902,Logistics & Storage,Inventory mismatch in parts database,Low,Hannahhaven
2025-01-13 17:35:58.409968,M498,Machinery & Equipment,Hydraulic press pressure loss,Medium,Gatesbury
2025-02-14 17:35:02.755603,M337,Machinery & Equipment,Injection molding machine nozzle clog,High,Brownberg
2025-01-17 19:45:20.271994,M160,Parts & Supply,Defective windshield batch,Medium,Lake Briana
2025-01-09 13:00:47.850842,M292,Sensor & Electrical,Faulty RFID scanner at inventory check,Low,West Jamieburgh
2025-03-03 23:08:58.459321,M181,Assembly Line,Conveyor belt misalignment,Medium,Smithmouth
2025-02-27 20:11:24.643799,M947,Assembly Line,Conveyor belt misalignment,Medium,New Meganfort
2025-02-17 13:47:52.402343,M839,Assembly Line,Robotic arm calibration failure,High,North Maryside
2025-01-17 12:46:35.821014,M559,Assembly Line,Conveyor belt misalignment,Medium,South Steven
2025-01-11 11:26:29.631583,M618,Assembly Line,Conveyor belt misalignment,Medium,Blakemouth
2025-02-24 10:46:30.212112,M832,Logistics & Storage,Forklift fuel leakage,Medium,Yolandachester
2025-02-26 03:48:46.461652,M459,Logistics & Storage,Inventory mismatch in parts database,Low,Lake Megan
2025-02-05 21:12:30.057010,M561,Machinery & Equipment,Injection molding machine nozzle clog,High,Johnstontown
2025-02-08 18:54:49.823595,M419,Assembly Line,Robotic arm calibration failure,High,Peggyfort
2025-02-25 10:23:24.429425,M732,Machinery & Equipment,Hydraulic press pressure loss,Low,New Williambury
2025-01-10 13:11:24.353585,M249,Assembly Line,Paint sprayer clogging,Medium,Kaylaside
2025-01-23 09:08:26.881529,M442,Assembly Line,Paint sprayer clogging,Medium,Joyceville
2025-01-15 08:29:00.326523,M747,Parts & Supply,Delayed shipment of brake pads,Low,Jonathanmouth
2025-03-06 00:01:14.020921,M970,Logistics & Storage,Inventory mismatch in parts database,Low,Nguyenview
2025-02-15 03:42:38.819744,M335,Logistics & Storage,Forklift fuel leakage,High,Carrillofort
2025-02-21 23:48:45.420100,M600,Sensor & Electrical,PLC (Programmable Logic Controller) failure,High,Sonyaville
2025-02-28 23:33:51.359294,M723,Assembly Line,Spot welding machine misfire,Low,Deborahtown
2025-01-25 20:16:33.611216,M912,Logistics & Storage,Inventory mismatch in parts database,Low,East Craigmouth
2025-02-14 16:41:22.705824,M994,Logistics & Storage,Inventory mismatch in parts database,Low,Jamesborough
2025-02-12 17:39:52.600454,M500,Sensor & Electrical,Faulty RFID scanner at inventory check,Medium,New Stephaniestad
2025-01-05 20:28:53.829806,M716,Parts & Supply,Delayed shipment of brake pads,Low,East Rachelborough
2025-02-07 00:40:02.431690,M348,Machinery & Equipment,CNC machine overheating,High,Port Mark
2025-01-31 04:55:45.475166,M715,Logistics & Storage,Tire storage humidity too high,Low,Jimmyside
2025-02-01 18:16:18.803614,M114,Logistics & Storage,Tire storage humidity too high,High,Anthonyland
2025-02-09 01:19:48.289433,M268,Assembly Line,Paint sprayer clogging,Medium,Sanchezshire
2025-01-15 16:07:07.732388,M578,Parts & Supply,Delayed shipment of brake pads,Low,West Michael
2025-02-27 01:52:56.175629,M674,Machinery & Equipment,CNC machine overheating,High,Andrewburgh
2025-01-31 18:03:47.618894,M624,Parts & Supply,Defective windshield batch,Medium,Michaelhaven
2025-02-04 02:27:10.338045,M710,Assembly Line,Spot welding machine misfire,Medium,Meghanmouth
2025-03-06 06:02:14.719899,M488,Parts & Supply,Delayed shipment of brake pads,Low,South Daniel
2025-02-16 09:12:03.457980,M221,Assembly Line,Conveyor belt misalignment,Medium,Wrightstad
2025-02-11 23:28:02.309001,M206,Machinery & Equipment,CNC machine overheating,High,Justinfort
2025-02-10 18:39:14.806454,M341,Logistics & Storage,Forklift fuel leakage,High,Mitchellville
2025-02-17 00:29:14.979274,M785,Logistics & Storage,Tire storage humidity too high,High,Mayerchester
2025-01-25 10:11:40.894318,M795,Machinery & Equipment,Lathe machine spindle failure,High,Rangelberg
2025-01-30 09:57:59.979815,M983,Assembly Line,Conveyor belt misalignment,Medium,Josephton
2025-01-17 13:04:10.317870,M888,Machinery & Equipment,CNC machine overheating,High,Newmanshire
2025-01-19 08:33:52.215722,M553,Assembly Line,Spot welding machine misfire,Medium,New Benjaminland
2025-01-28 04:39:35.696314,M843,Assembly Line,Spot welding machine misfire,Medium,Catherineview
2025-01-02 08:29:02.069402,M525,Sensor & Electrical,PLC (Programmable Logic Controller) failure,High,East Andrew
2025-01-16 06:15:19.031149,M799,Assembly Line,Spot welding machine misfire,High,Aaronmouth
2025-02-05 15:18:04.811718,M123,Sensor & Electrical,Faulty RFID scanner at inventory check,High,East Courtney
2025-01-28 21:07:23.433274,M243,Assembly Line,Conveyor belt misalignment,Medium,New Deantown
2025-02-03 00:24:47.248651,M744,Assembly Line,Robotic arm calibration failure,High,Christianshire
2025-01-09 00:37:25.690689,M950,Sensor & Electrical,Electrical surge causing sensor malfunctions,Low,Sextonstad
2025-01-17 08:35:47.351197,M473,Parts & Supply,Engine block casting defects,Medium,Port Pamelaview
2025-02-04 06:16:38.705984,M877,Logistics & Storage,Forklift fuel leakage,Medium,North Cheryl
2025-01-06 16:10:59.695278,M848,Parts & Supply,Incorrect tire specifications received,Low,Lake Carrie
2025-01-02 14:18:18.237650,M808,Parts & Supply,Engine block casting defects,Low,Gregoryside
2025-01-07 08:24:54.986922,M472,Assembly Line,Conveyor belt misalignment,Medium,Jessicaview
2025-03-01 02:53:31.159109,M265,Machinery & Equipment,CNC machine overheating,High,West Juliatown
2025-01-14 01:46:24.526116,M331,Assembly Line,Paint sprayer clogging,Medium,West Paul
2025-01-21 08:58:57.330786,M239,Machinery & Equipment,Injection molding machine nozzle clog,High,Lake Conniebury
2025-02-04 09:14:16.704319,M607,Machinery & Equipment,Hydraulic press pressure loss,Medium,West Nancy
2025-01-19 03:11:16.779550,M799,Parts & Supply,Defective windshield batch,Medium,North Stevenbury
2025-02-04 22:14:06.029943,M327,Parts & Supply,Engine block casting defects,Low,South Tracey
2025-01-28 03:35:53.994984,M652,Machinery & Equipment,CNC machine overheating,High,South Lauramouth
2025-02-09 10:10:27.017203,M664,Assembly Line,Spot welding machine misfire,High,Wyattchester
2025-01-17 14:20:02.734920,M629,Parts & Supply,Incorrect tire specifications received,Low,Tamarafort
2025-01-07 00:00:19.061982,M344,Assembly Line,Spot welding machine misfire,Medium,Bushmouth
2025-01-10 08:39:17.471888,M460,Assembly Line,Paint sprayer clogging,Medium,Weberport
2025-02-06 15:50:23.164227,M670,Assembly Line,Spot welding machine misfire,High,Barkerchester
2025-01-27 13:52:40.573611,M102,Assembly Line,Spot welding machine misfire,Low,Thomasborough
2025-01-17 15:17:53.052671,M453,Logistics & Storage,Barcode scanner failure in warehouse,High,East Jamesfurt
2025-01-10 11:30:44.494875,M332,Sensor & Electrical,Electrical surge causing sensor malfunctions,Medium,Coleside
2025-01-06 23:23:05.767184,M472,Parts & Supply,Incorrect tire specifications received,Low,West Christopher
2025-02-16 19:35:18.370558,M139,Parts & Supply,Engine block casting defects,Medium,Watsonfort
